,Name,Teams,Maps,Rounds,K-D Diff,K/D,Rating (1.0),Age,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,DPR,KAST,Impact,ADR,KPR,Rating
0,ZywOo,"['Vitality', 'aAa']",1108,29209,+6778,1.38,1.27,22 years,24631,41.1%,17853,1.38,87.8,3.7,1108,29209,0.84,0.12,0.61,0.09,0.12,0.61,75.1%,1.44,87.8,0.84,1.32
1,s1mple,['Natus Vincere'],1649,43626,+9404,1.34,1.24,25 years,37131,41.2%,27727,1.34,85.9,2.4,1649,43626,0.85,0.10,0.64,0.08,0.11,0.64,74.1%,1.35,85.9,0.85,1.24
2,sh1ro,"['Gambit Youngsters', 'Gambit']",937,24889,+5988,1.45,1.23,21 years,19243,28.0%,13255,1.45,78.8,3.9,937,24889,0.77,0.11,0.53,0.08,0.11,0.53,76.3%,1.21,78.8,0.77,1.26
3,deko,['1WIN'],497,13510,+2890,1.37,1.21,21 years,10801,36.7%,7911,1.37,80.5,3.8,497,13510,0.80,0.10,0.59,0.08,0.11,0.59,74.3%,1.21,80.5,0.80,1.23
4,Kaze,"['Rare Atom', 'ViCi', 'Flash', 'MVP.karnal']",919,24020,+4439,1.31,1.19,28 years,18623,30.4%,14184,1.31,79.3,2.9,919,24020,0.78,0.11,0.59,0.08,0.10,0.59,73.7%,1.22,79.3,0.78,1.19
5,saffee,"['FURIA', 'paiN']",446,11796,+2060,1.29,1.18,28 years,9240,30.6%,7180,1.29,79.2,3.0,446,11796,0.78,0.10,0.61,0.08,0.09,0.61,73.2%,1.22,79.2,0.78,1.20
6,degster,"['OG', 'Espada', 'Spirit']",778,20777,+3717,1.30,1.18,21 years,16181,34.8%,12464,1.30,78.5,2.9,778,20777,0.78,0.09,0.60,0.07,0.10,0.60,72.7%,1.23,78.5,0.78,1.20
7,smooya,"['BIG', 'Movistar Riders', 'Epsilon']",921,24424,+4049,1.27,1.18,23 years,19253,27.9%,15204,1.27,79.7,2.6,921,24424,0.79,0.10,0.62,0.08,0.10,0.62,71.7%,1.27,79.7,0.79,1.20
8,XANTARES,"['Eternal Fire', 'Space Soldiers', 'BIG']",1915,50617,+6840,1.20,1.17,27 years,41028,53.2%,34188,1.20,89.2,4.9,1915,50617,0.81,0.15,0.68,0.10,0.10,0.68,72.3%,1.34,89.2,0.81,1.17
9,sterling,"['AVANT', 'Looking For Org', 'Dire Wolves']",908,23267,+4109,1.30,1.17,24 years,17982,31.7%,13873,1.30,77.9,4.0,908,23267,0.77,0.10,0.60,0.08,0.10,0.60,73.2%,1.18,77.9,0.77,1.19
10,DANK1NG,"['TYLOO', 'EHOME']",444,11755,+1860,1.25,1.16,23 years,9274,39.1%,7414,1.25,80.0,2.3,444,11755,0.79,0.10,0.63,0.09,0.10,0.63,73.3%,1.25,80.0,0.79,1.21
11,SENSEi,"['IKLA', 'CR4ZY', 'Project X', 'Akuma', 'Iron Branch']",622,16636,+3185,1.35,1.16,24 years,12348,31.0%,9163,1.35,75.9,3.1,622,16636,0.74,0.09,0.55,0.07,0.09,0.55,73.8%,1.17,75.9,0.74,1.20
12,device,"['Astralis', 'TSM']",1835,47799,+7433,1.25,1.16,27 years,37204,35.0%,29771,1.25,80.4,4.3,1835,47799,0.78,0.13,0.62,0.07,0.08,0.62,71.3%,1.28,80.4,0.78,1.16
13,blameF,"['Astralis', 'Complexity', 'Heroic', 'Epsilon']",979,26288,+4204,1.26,1.16,25 years,20182,39.2%,15978,1.26,85.8,7.1,979,26288,0.77,0.14,0.61,0.07,0.09,0.61,74.0%,1.23,85.8,0.77,1.23
14,try,"['9z', '00NATION']",396,10530,+1706,1.27,1.16,18 years,8034,34.2%,6328,1.27,77.6,4.0,396,10530,0.76,0.10,0.60,0.09,0.11,0.60,73.4%,1.19,77.6,0.76,1.19
15,NiKo,"['G2', 'FaZe', 'MOUZ']",1718,45621,+5819,1.19,1.15,26 years,36238,50.4%,30419,1.19,86.0,4.5,1718,45621,0.79,0.13,0.67,0.08,0.10,0.67,71.2%,1.30,86.0,0.79,1.15
16,JamYoung,"['Rare Atom', 'ViCi']",400,10553,+1499,1.23,1.15,21 years,8078,54.7%,6579,1.23,81.5,3.3,400,10553,0.77,0.13,0.62,0.09,0.12,0.62,74.0%,1.17,81.5,0.77,1.19
17,KSCERATO,['FURIA'],972,25303,+4045,1.28,1.15,23 years,18704,49.2%,14659,1.28,79.5,5.4,972,25303,0.74,0.13,0.58,0.08,0.10,0.58,75.0%,1.10,79.5,0.74,1.19
18,torzsi,"['MOUZ', 'Budapest Five', 'MOUZ NXT', 'Salamander']",542,14454,+2092,1.24,1.15,20 years,10967,29.1%,8875,1.24,76.6,2.5,542,14454,0.76,0.09,0.61,0.08,0.10,0.61,71.1%,1.18,76.6,0.76,1.16
19,BnTeT,"['TYLOO', 'Gen.G', 'EXTREMUM']",1082,28179,+3833,1.22,1.14,27 years,21452,39.7%,17619,1.22,82.6,5.1,1082,28179,0.76,0.14,0.63,0.10,0.12,0.63,74.4%,1.14,82.6,0.76,1.14
20,Benkai,"['BOOT-d[S]', 'BOOT', 'dream[S]cape']",603,15560,+2046,1.20,1.14,26 years,12164,46.7%,10118,1.20,85.4,4.2,603,15560,0.78,0.14,0.65,0.07,0.10,0.65,71.7%,1.25,85.4,0.78,1.14
21,coldzera,"['SK', 'FaZe', 'Luminosity', 'MIBR']",1495,39107,+5655,1.23,1.14,28 years,29783,49.4%,24128,1.23,78.8,2.5,1495,39107,0.76,0.11,0.62,0.08,0.10,0.62,73.2%,1.08,78.8,0.76,1.14
22,Woro2k,"['Monte', 'MAD Lions', 'ex-MAD Lions']",469,12664,+1751,1.22,1.14,21 years,9796,34.1%,8045,1.22,79.1,3.1,469,12664,0.77,0.10,0.64,0.08,0.10,0.64,70.6%,1.21,79.1,0.77,1.17
23,Sico,"['Grayhound', 'Renegades', 'ORDER', 'Kings']",964,24408,+3768,1.26,1.13,28 years,18189,35.9%,14421,1.26,78.6,6.8,964,24408,0.75,0.14,0.59,0.09,0.10,0.59,73.9%,1.16,78.6,0.75,1.13
24,Texta,"['Chiefs', 'Athletico', 'Dark Sided']",626,15749,+1748,1.16,1.13,21 years,12537,40.3%,10789,1.16,87.1,3.6,626,15749,0.80,0.18,0.69,0.11,0.13,0.69,73.3%,1.29,87.1,0.80,1.21
25,Jame,"['Outsiders', 'AVANGAR', 'Virtus.pro']",1262,33447,+5642,1.31,1.13,24 years,23886,25.1%,18244,1.31,72.7,4.0,1262,33447,0.71,0.09,0.55,0.07,0.09,0.55,73.9%,1.11,72.7,0.71,1.17
26,XigN,"['NKT', 'MVP PK', 'MVP Project']",790,20522,+2454,1.18,1.13,25 years,15840,52.5%,13386,1.18,81.6,2.8,790,20522,0.77,0.12,0.65,0.09,0.10,0.65,72.9%,1.20,81.6,0.77,1.13
27,XELLOW,['Nexus'],1190,31436,+3643,1.18,1.13,22 years,24336,39.8%,20693,1.18,79.6,1.8,1190,31436,0.77,0.10,0.66,0.09,0.10,0.66,70.7%,1.25,79.6,0.77,1.13
28,oskar,"['SINNERS', 'MOUZ', 'HellRaisers']",1539,40635,+5104,1.20,1.13,31 years,30974,30.5%,25870,1.20,78.2,3.4,1539,40635,0.76,0.10,0.64,0.07,0.08,0.64,70.4%,1.21,78.2,0.76,1.13
29,forsyy,"['SINNERS', 'Enterprise']",461,12453,+1740,1.23,1.13,21 years,9197,29.3%,7457,1.23,76.7,4.2,461,12453,0.74,0.10,0.60,0.08,0.09,0.60,72.5%,1.14,76.7,0.74,1.16
30,mhL,"['Endpoint', 'AGO', 'MOUZ NXT']",606,16247,+2107,1.20,1.13,20 years,12406,28.7%,10299,1.20,80.1,3.7,606,16247,0.76,0.12,0.63,0.09,0.11,0.63,71.0%,1.22,80.1,0.76,1.17
31,El1an,"['Winstrike', 'Entropiq', 'EPG']",1340,35763,+4874,1.22,1.13,23 years,26798,27.0%,21924,1.22,78.0,2.8,1340,35763,0.75,0.11,0.61,0.07,0.08,0.61,70.5%,1.21,78.0,0.75,1.17
